path,name,title,description,depicted_place,notes
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 2.jpg,L 2.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 20.jpg,L 20.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 21.jpg,L 21.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 22.jpg,L 22.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 23.jpg,L 23.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 24.jpg,L 24.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 25.jpg,L 25.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 26.jpg,L 26.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 27.jpg,L 27.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 28.jpg,L 28.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 29.jpg,L 29.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 3.jpg,L 3.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 30.jpg,L 30.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 31.jpg,L 31.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 32.jpg,L 32.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 33.jpg,L 33.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 34.jpg,L 34.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 35.jpg,L 35.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 36.jpg,L 36.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 37.jpg,L 37.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 38.jpg,L 38.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 39.jpg,L 39.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 4.jpg,L 4.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 40.jpg,L 40.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 41.jpg,L 41.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 42.jpg,L 42.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 43.jpg,L 43.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 44.jpg,L 44.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 45.jpg,L 45.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 46.jpg,L 46.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 47.jpg,L 47.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 48.jpg,L 48.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 49.jpg,L 49.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 5.jpg,L 5.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 50.jpg,L 50.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 51.jpg,L 51.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 52.jpg,L 52.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 53.jpg,L 53.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 54.jpg,L 54.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 55.jpg,L 55.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 56.jpg,L 56.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 57.jpg,L 57.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 58.jpg,L 58.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 59.jpg,L 59.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 6.jpg,L 6.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 60.jpg,L 60.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 61.jpg,L 61.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 62.jpg,L 62.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 63.jpg,L 63.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 64.jpg,L 64.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 65.jpg,L 65.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 66.jpg,L 66.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 67.jpg,L 67.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 68.jpg,L 68.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 69.jpg,L 69.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 7.jpg,L 7.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 70.jpg,L 70.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 71.jpg,L 71.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 72.jpg,L 72.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 73.jpg,L 73.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 74.jpg,L 74.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 75.jpg,L 75.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 76.jpg,L 76.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 77.jpg,L 77.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 78.jpg,L 78.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 79.jpg,L 79.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 8.jpg,L 8.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 80.jpg,L 80.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 81.jpg,L 81.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 82.jpg,L 82.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 83.jpg,L 83.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 84.jpg,L 84.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 85.jpg,L 85.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 86.jpg,L 86.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 87.jpg,L 87.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 9.jpg,L 9.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\106 Graham St (1).JPG,106 Graham St (1).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\106 Graham St (2).JPG,106 Graham St (2).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\106 Graham St (3).JPG,106 Graham St (3).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\13 St Johns Est Block 12 (1).JPG,13 St Johns Est Block 12 (1).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\13 St Johns Est Block 12 (2).JPG,13 St Johns Est Block 12 (2).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\132 St Johns Est Block 4 (1).JPG,132 St Johns Est Block 4 (1).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\132 St Johns Est Block 4 (2).JPG,132 St Johns Est Block 4 (2).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\132 St Johns Est Block 4 (3).JPG,132 St Johns Est Block 4 (3).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\139 H D Area 11 (1).JPG,139 H D Area 11 (1).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\139 H D Area 11 (2).JPG,139 H D Area 11 (2).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\15 Arden Est - Crondall Pl (1).JPG,15 Arden Est - Crondall Pl (1).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\15 Arden Est - Crondall Pl (2).JPG,15 Arden Est - Crondall Pl (2).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\15 Arden Est - Crondall Pl (3).JPG,15 Arden Est - Crondall Pl (3).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\15 Arden Est - Crondall Pl (4).JPG,15 Arden Est - Crondall Pl (4).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\156 Lancaster St Block 1 -NB BROOKwood House not Brockwood (1).JPG,156 Lancaster St Block 1 -NB BROOKwood House not Brockwood (1).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\156 Lancaster St Block 1 -NB BROOKwood House not Brockwood (2).JPG,156 Lancaster St Block 1 -NB BROOKwood House not Brockwood (2).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\156 Lancaster St Block 1 -NB BROOKwood House not Brockwood (3).JPG,156 Lancaster St Block 1 -NB BROOKwood House not Brockwood (3).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\161 Wenlock Barn Block 28.JPG,161 Wenlock Barn Block 28.JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\London Jul 2018\168 Long Lane Area - Crosby Rd Site (1).JPG,168 Long Lane Area - Crosby Rd Site (1).JPG,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
